url,Auteur,Sujet,Date & heure,Message
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,que faire en cas de harcèlement scolaire répété ?,Posté le 07/10/2016 à 16:37:47,"Bonjour,
Je désire aujourd'hui témoigner sur le harcèlement scolaire que mon fils a vécu depuis l'année dernière.
Je ne l'ai su qu'à la rentrée scolaire, car il avait peur de dénoncer les faits par peur des menaces de mort.
L'année dernière en 5ième, mon fils a subi un harcèlement verbal, moral et physique plusieurs fois par semaine durant toute l'année. Les deux camarades de classe s'en prenaient à lui pendant la récréation dans la cour d'école. L'un, fort en arts martiaux lui portaient des coups dans le ventre, la poitrine et le sternum. L'autre camarade l'insultait de petite pute, soumis en lui disant que là il donnait des cris virils quand son corps se révulsait. Quand mon fils voulait dénoncer les faits, il recevait des coups dans le sternum et on lui disait : si je tape plus fort, tu crèves.
A la rentrée, il a craqué et a pris un couteau de cuisine en évoquant de se suicider avec. Il avait peur que cela recommence cette année, bien que ces deux agresseurs n'étaient plus dans sa classe. Rendez-vous chez le psy, et inscription à des cours de self defense pour qu'il acquiert un sentiment de sécurité.
J'ai dénoncé les faits à l'école, au responsable de la vie scolaire, qui m'a dit qu'il ferait remonter l'affaire au directeur. L'après-midi, j'ai quand même téléphoné à l'accueil pour avoir un entretien personnel avec le directeur en évoquant brièvement la gravité des faits. Le directeur ne m'a pas rappelé.
Le responsable de vie scolaire a désigné deux référents enfants dans la classe de mon fils pour dénoncer les faits au cas où mon fils se ferait à nouveau harceler.
Les deux agresseurs de l'année dernière ont eu l'interdiction de parler à mon fils, mais rien n'a été noté dans leur dossier et les parents n'ont même pas été prévenus.
Cela remonte à deux semaines.
Hier, l'infirmier du collège m'appelle à midi pour m'informer que mon fils a subi des coups et qu'il faut que je vienne le chercher pour qu'il soit soigné.
En plein cours, un camarade de sa classe, qui mesure plus d'un 1.80 m commence à l'insulter. Mon fils riposte. Les insultes durent environ deux minutes sans que le professeur ne les entende. L'autre garçon se jette sur mon fils, le tire par le cheveux en le relevant de sa chaise par les cheveux, lui assène des coups de poing dans la tête et sur le front, des gifles, et lui tire violemment les oreilles.
Lorsque je viens chercher mon fils, il se trouve déjà à l'accueil, mais seul, ni le directeur, ni le responsable de la vie scolaire sont là pour m'accueillir. J'insiste et j'insiste à l'accueil sur le fait qu'il me faut un certificat de l'infirmier qui atteste ce qu'il a diagnostiqué. J'en reçois enfin un, et le responsable de la vie scolaire daigne m'accorder une minute top chrono sans même me relater les faits.
Je vais aux urgences. Je porte plainte contre le jeune.
Je téléphone à l'accueil pour avoir enfin un entretien avec le directeur !! Le directeur me rappelle, me dit que l'accueil ne lui a pas fait passer le message comme quoi je voulais le voir deux semaines auparavant, et que le responsable de la vie scolaire n'a pas fait remonter l'affaire. De toute façon, il me dit que les faits se sont déroulés l'année dernière et qu'il n'a repris la fonction de directeur qu'au 1er septembre de cette année. Quelle considération ! Le ton monte, mais j'obtiens un rendez-vous pour la semaine prochaine.
J'appelle le 3020. Une conseillère me dit que l'affaire n'ira certainement pas au tribunal et qu'il n'y aura aucune sanction car l'agresseur est un enfant mineur. Au plus, il y aura une convocation au commissariat avec les parents et c'est tout. Eh ben!
Je pense qu'il y a un gros manquement au niveau du personnel de ce collège dit élitiste.
Comment un enfant peut il se faire tabasser plusieurs fois par semaine en cour de récréation pendant toute une année, sans qu'aucun surveillant ne le voie ?
Pourquoi l'accueil ne trouve il pas utile d'informer le directeur lorsqu'un parent souhaite avoir un entretien avec lui pour harcèlement physique et menaces de mort ? (à mon avis, c'est le directeur qui ment)
Pourquoi le responsable de la vie scolaire dit qu'il fait remonter l'affaire tandis que ce n'est pas vrai ?
Comment se fait il que l'école ne note rien dans le dossier de l'enfant lorsque celui-ci a porté plus d'une cinquantaine de coups en un an et proféré des menaces de mort ? Pourquoi les parents n'ont il pas été prévenus d'actes aussi graves ?
Comment se fait il qu'un professeur n'entende pas les insultes qui fusent pendant deux minutes en classe avant les coups ?
Le référant harcèlement de l'académie va prendre contact avec moi. Mais j'ai bien peur que rien ne bouge réellement.
Est-ce que je peux porter plainte contre l'école et que me conseilleriez-vous de faire ?
Mon fils est en maladie jusqu'à la toussaint. Il a toujours le sourire car il est quelqu'un de naturellement positif et joyeux. Mais il a été affecté et il a peur que cela recommence. Il me dit que de toute façon dans deux semaines je n'irai pas le chercher au collège, mais à la morgue.
Message cité 2 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Sylvaindu6​4,,Posté le 08/10/2016 à 22:45:05,"Bonjour, votre fils est dans un sacré pétrin. La conseillère vous as dit que porter plainte contre l'élève n'aboutira à rien puisqu'il est mineur. Porter plainte contre la direction, il existe des lois contre le harcèlement et l'établissement ne peut pas laisser passer ces actes de la part de leurs élève sur votre enfant, peut être que les élèves en question seront virer. Ou bien la solution radicale, changez le d'école. Vous avez pris conscience que votre fils se faisait harceler ce qui est une bonne chose sa veut dire que vous veillez beaucoup a son bien être. Je dis sa car j'ai été mis à l'écart et un petit peu harcelé pendant 5 ans, mes parents n'ont rien vu. Parlez à votre fils et proposer lui des solution, perso je pense qui prendra celui de changez d'écoles parce que qu'ils se fait harceler par 2 enfants mais apparemment personne ne le défend et il est incapable de se défendre lui même. J'était comme sa moi aussi, on est incapable de se défendre quand on sent seul et qu'on n'est pas soutenu par les autres élève, d'après moi il doit se faire rejeter par les autres élève en plus de se faire harceler. Ils en prennent à lui car ces harceleurs ont des problème psychologiques (problème familiaux par exemple) et pour combler ces problème ils font recours à la violence et comme ils ont vu que votre fils était faible et sans défense et que personne le soutien, ils s'en prennent à lui. Peut être que je me trompe mais sa doit être a peu prés sa parce que j'ai vécu les même sensation et les même souffrance (pas le harcèlement physique mais moral). Il faudrait qu'il aille voir un psy, sa soulage mais je vous le dis direct il vas pas faire des miracle, c'est à vous de bougez les chose car c'est votre rôle de parent. Réfléchissais bien, parler à votre fils mais surtout ne restez pas s'en rien faire parce que il va se sentir abandonner, parce qu'il aura des séquelles s'il le problème n'est pas pris en compte et si il perdure et finira par passer à l'acte... ce qui est a éviter. Il faut tout simplement qui soit heureux, pour son bonheur et pour le votre aussi car je sais que pour vous c'est dur aussi, mais c'est plus dur pour lui que vous, croyait moi. J'espère que d'autres personne posterons des messages pour vous conseiller et pour que vous aidiez votre fils à s'en sortir, je dis sa car c'est pas votre fils qui a un problème mais c'est juste qu'il ce fait harceler par des individus. Et aussi même si il sent sort et qu'il ne se fait plus harceler, il peut être rejeter par les autres c'est du harcèlement moral, plus difficile a détecter. Faites attention a sa vie social, a se qu'il soit épanouis et qu'il est des amis sur qui comptait. Le plus important c'est qu'il soit épanouis. Bref! réfléchissez a tous ce que je vous ai dit, j'espère que d'autre posterons et je serai toujours la pour vous soutenir.
Cordialement."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 09/10/2016 à 09:34:01,"Merci Sylvain de votre réponse. La situation n'est pas tout à fait la même en ce qui concerne mon fils. Il est très apprécié par ses camarades de l'année dernière et de cette année, et par les professeurs. Ce qui a suscité des jalousies chez certains l'année dernière. Il est soutenu par ses amis et par sa famille. Il a un mental très fort et il sait que s'il ne se sent plus à l'aise dans ce collège je le retire le jour même, et cela même s'il n'y aura pas d'autres incidents.
J'ai porté plainte contre les parents. J'ai signalé la négligence du personnel du collège à l'académie. Négligence de la part des surveillants, de l'accueil, de la vie scolaire, et du professeur. La gendarmerie, ainsi que l'académie feront une enquête.
Demain j'ai rendez-vous avec le directeur et des mesures doivent être mises en place pour que mon enfant se sente et soit en sécurité après les vacances de la toussaint.
Affaire à suivre...
Je vous remercie de votre gentillesse, et je regrette quelque peu que mon message n'ait pas eu plus de réponses que la vôtre."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,fouduchato​n; fouduchato​n,,Posté le 10/10/2016 à 18:17:01,"Petite piste sur le moyen terme à travers cette question: ton fils sait-il se défendre ?
Si ce n'est pas le cas, je te conseille de l'inscrire à quelque chose d'efficace, type boxe thai ou encore mieux krav maga. Bien sûr, ça ne portera pas ses fruits tout de suite, mais d'ici quelque temps ça ira mieux, car il faut voir que:
- Un enfant harcelé se sent souvent diminué et manque de confiance en sa capacité de riposte.
- Un enfant harcelé et qui se fait taper dessus sans pouvoir se défendre aura tendance à continuer à se faire harceler...c'est un engrenage.
- Une confiance en soi et une bonne riposte calment souvent les agresseurs, même si le gamin se prend une dérouillée en se défendant. Simplement parce que ce sont des lâches, et qu'ils préfèrent ne pas s'en prendre une au passage.
Conseils d'un ancien gamin harcelé/tabassé, aujourd'hui prof de karaté...et qui n'a jamais eu à s'en servir.
(bien sûr c'est un investissement pour l'avenir, et ça n'implique en rien que tu ne dois pas tenter de résoudre le problème actuel en parallèle).
Message cité 1 fois
Message édité par fouduchaton le 10/10/2016 à 18:18:52"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 11/10/2016 à 17:03:40,"Bonjour,
Mon fils ne sait pas se défendre, pas encore. Suite aux harcèlements répétés de l'année dernière, quand il a craqué à la rentrée, je l'ai inscrit au Krav Maga. Il accroche.
Ce qui c'est passé la semaine dernière, n'est pas un harcèlement, mais une agression. Elle n'a pas duré longtemps. Pas plus d'une demie minutes. Mais le gamin qui vient d'intégrer la classe, 1.83 m pour 13 ans, l'a massacré. Il n'avait aucune chance.
Les séquelles du traumatisme crânien et du tympan disparaissent : douleurs, vertiges, maux de tête.
Reste le manque d'envie. D'aller se balader avec le chien, d'aller au resto, d'aller au Krav Maga, ...
Demain évaluation psychologique. Vendredi, entraînement personnel avec un mec du Krav. On va peut-être continuer les entraînements personnels pour quelques temps, c'est tout ce qu'il veut faire. Il y a un mois je l'ai inscrit aux cours collectifs 70 euros/mois auxquels il ne pourra pas participer. A voir comment on peut s'arranger. L'entraînement personnel coûte 75h/heure.
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,fouduchato​n; fouduchato​n,,Posté le 11/10/2016 à 20:03:45,"75/heure ?
Ben dis donc c'est raide, mes cours de karaté je les fais à 20€...
Après la taille ne compte pas tellement, si ce n'est sur l'aspect psychologique. Un bon coup dans les parties ou dans la gorge comme on apprend au krav, ça coupe net n'importe qui.
Eventuellement avoir une bombe à gaz de défense dans la poche, à ne jamais montrer bien sûr pour qu'elle reste efficace en cas d'agression.
C'est compliqué comme situation.
Et il ne pourrait pas se lier d'amitié avec d'autres enfants embêtés par la même personne ?
Rien de tel qu'un ennemi commun pour créer des liens.
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 12/10/2016 à 17:15:23,"fouduchaton a écrit :
Petite piste sur le moyen terme à travers cette question: ton fils sait-il se défendre ?
Si ce n'est pas le cas, je te conseille de l'inscrire à quelque chose d'efficace, type boxe thai ou encore mieux krav maga. Bien sûr, ça ne portera pas ses fruits tout de suite, mais d'ici quelque temps ça ira mieux, car il faut voir que:
- Un enfant harcelé se sent souvent diminué et manque de confiance en sa capacité de riposte.
- Un enfant harcelé et qui se fait taper dessus sans pouvoir se défendre aura tendance à continuer à se faire harceler...c'est un engrenage.
- Une confiance en soi et une bonne riposte calment souvent les agresseurs, même si le gamin se prend une dérouillée en se défendant. Simplement parce que ce sont des lâches, et qu'ils préfèrent ne pas s'en prendre une au passage.
Conseils d'un ancien gamin harcelé/tabassé, aujourd'hui prof de karaté...et qui n'a jamais eu à s'en servir.
(bien sûr c'est un investissement pour l'avenir, et ça n'implique en rien que tu ne dois pas tenter de résoudre le problème actuel en parallèle).
Afficher plus
Afficher moins
je croyais que la violence n'était pas une bonne idée ? 
Tu changes souvent de discours...
ce qu'il faut surtout, c'est en parler au proviseur, à la CPE et si ils ne font rien, porter plainte pour harcèlement moral auprès des flics."
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Nic544y,,Posté le 12/10/2016 à 17:16:58,"Thymus38 a écrit :
Bonjour,
Mon fils ne sait pas se défendre, pas encore. Suite aux harcèlements répétés de l'année dernière, quand il a craqué à la rentrée, je l'ai inscrit au Krav Maga. Il accroche.
Ce qui c'est passé la semaine dernière, n'est pas un harcèlement, mais une agression. Elle n'a pas duré longtemps. Pas plus d'une demie minutes. Mais le gamin qui vient d'intégrer la classe, 1.83 m pour 13 ans, l'a massacré. Il n'avait aucune chance.
Les séquelles du traumatisme crânien et du tympan disparaissent : douleurs, vertiges, maux de tête.
Reste le manque d'envie. D'aller se balader avec le chien, d'aller au resto, d'aller au Krav Maga, ...
Demain évaluation psychologique. Vendredi, entraînement personnel avec un mec du Krav. On va peut-être continuer les entraînements personnels pour quelques temps, c'est tout ce qu'il veut faire. Il y a un mois je l'ai inscrit aux cours collectifs 70 euros/mois auxquels il ne pourra pas participer. A voir comment on peut s'arranger. L'entraînement personnel coûte 75h/heure.
Afficher plus
Afficher moins
Madame, vous devez aller porter plainte si les harcèlements continuent
il existe même un numéro spécial. pour en savoir plus, voir le lien ci-contre : www.nonauharcelement.education.gouv.fr
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,fouduchato​n; fouduchato​n,,Posté le 13/10/2016 à 10:14:26,"Julie, se défendre et taper sur quelqu'un parce qu'il a un comportement inadapté ne sont pas la même chose.
Message cité 1 fois"
http://forum.doctissimo.fr/famille/Harcelement-a-l-ecole/harcelement-scolaire-repete-sujet_328_1.htm,Thymus38; Thymus38,,Posté le 13/10/2016 à 11:11:54,"fouduchaton a écrit :
75/heure ?
Ben dis donc c'est raide, mes cours de karaté je les fais à 20€...
Oui, c'est raide si je dois payer cette somme deux fois par semaine + cours collectifs. Faut savoir que le Krav Maga n'est pas un art martial et qu'en France, du moins dans mon coin, les jeunes ne sont acceptés qu'à partir de 15/16 ans. Mon fils s'entraîne dans mon pays d'origine, et c'est la seule association qui accepte les enfants.
Après la taille ne compte pas tellement, si ce n'est sur l'aspect psychologique. Un bon coup dans les parties ou dans la gorge comme on apprend au krav, ça coupe net n'importe qui.
Apparemment, il n'a pas pu en donner une seule. Aucune chance, il fait 1.60m et l'autre 1.83m. Il n'y a seulement qu'une chose à faire suite aux harcèlements répétés de l'année dernière et l'agression de cette année : dénoncer tout de suite les faits avant escalade !
Eventuellement avoir une bombe à gaz de défense dans la poche, à ne jamais montrer bien sûr pour qu'elle reste efficace en cas d'agression.
C'est compliqué comme situation.
Et il ne pourrait pas se lier d'amitié avec d'autres enfants embêtés par la même personne ?
Rien de tel qu'un ennemi commun pour créer des liens.
C'est bien cela qui m'inquiète un peu. A la rentrée, il sera dans ce groupe d'amis et devra se confronter à son agresseur, même en dehors de la classe : récré, cantine. Il va essayer de l'éviter, mais il ne pourra pas le faire tout de suite, car sinon il se retrouve seul. Pas facile
Afficher plus
Afficher moins"
